ID_GVA46|FILLER|ESTADO_VTO|FECHA_VTO|IMPORTE_VT|N_COMP|T_COMP|ESTADO_UNI|IMP_VT_UNI|IMP_VT_EXT|IM_VT_UN_E|ALTERNATIVA_1|IMPORTE_TOTAL_1|ALTERNATIVA_2|IMPORTE_TOTAL_2|AJUSTA_COBRO_FECHA_ALTERNATIVA|UNIDADES_TOTAL_1|UNIDADES_TOTAL_2
4439||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002375|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4440||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002376|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4441||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002377|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4442||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002378|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4443||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002379|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4444||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002380|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4445||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002381|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4446||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002382|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4447||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002383|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4448||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002384|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4449||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002385|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4450||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002386|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4451||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002387|FAC|PEN|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4452||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002388|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4453||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002389|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4454||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002390|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4455||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002391|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4456||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002392|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4457||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002393|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4458||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002394|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4459||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002395|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4460||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002396|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4461||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002397|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4462||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002398|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4463||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002399|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4464||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002400|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4465||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002401|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
4466||PAG|2023-02-10 00:00:00|3800,0000000|B0000300002402|FAC|PAG|19,4900000|,0000000|,0000000|2023-02-20 00:00:00|3914,0000000|2023-03-02 00:00:00|4028,0000000|S|20,0700000|20,6600000
